fips_code,incident_start_date,incidenttype,is_major_disaster,state
19097,2023-04-24 00:00:00+00:00,Flood,1,IA
19111,2023-04-24 00:00:00+00:00,Flood,1,IA
19163,2023-04-24 00:00:00+00:00,Flood,1,IA
36071,2024-11-08 00:00:00+00:00,Fire,0,NY
40000,2020-01-20 00:00:00+00:00,Biological,0,OK
35061,2025-04-17 00:00:00+00:00,Fire,0,NM
02050,2023-05-12 00:00:00+00:00,Flood,1,AK
02180,2023-05-12 00:00:00+00:00,Flood,1,AK
02290,2023-05-12 00:00:00+00:00,Flood,1,AK
02050,2023-05-12 00:00:00+00:00,Flood,1,AK
02050,2023-05-12 00:00:00+00:00,Flood,1,AK
02158,2023-05-12 00:00:00+00:00,Flood,1,AK
02050,2023-05-12 00:00:00+00:00,Flood,1,AK
02050,2023-05-12 00:00:00+00:00,Flood,1,AK
02240,2023-05-12 00:00:00+00:00,Flood,1,AK
02240,2023-05-12 00:00:00+00:00,Flood,1,AK
47047,2023-06-25 00:00:00+00:00,Severe Storm,1,TN
47157,2023-06-25 00:00:00+00:00,Severe Storm,1,TN
47167,2023-06-25 00:00:00+00:00,Severe Storm,1,TN
01095,1973-05-29 00:00:00+00:00,Flood,1,AL
30000,2023-04-10 00:00:00+00:00,Flood,1,MT
30005,2023-04-10 00:00:00+00:00,Flood,1,MT
30019,2023-04-10 00:00:00+00:00,Flood,1,MT
30041,2023-04-10 00:00:00+00:00,Flood,1,MT
30067,2023-04-10 00:00:00+00:00,Flood,1,MT
30085,2023-04-10 00:00:00+00:00,Flood,1,MT
30091,2023-04-10 00:00:00+00:00,Flood,1,MT
30105,2023-04-10 00:00:00+00:00,Flood,1,MT
34041,2023-07-14 00:00:00+00:00,Severe Storm,1,NJ
15001,2023-08-08 00:00:00+00:00,Fire,1,HI
15009,2023-08-08 00:00:00+00:00,Fire,1,HI
21001,2025-02-14 00:00:00+00:00,Severe Storm,1,KY
21003,2025-02-14 00:00:00+00:00,Severe Storm,1,KY
21007,2025-02-14 00:00:00+00:00,Severe Storm,1,KY
21009,2025-02-14 00:00:00+00:00,Severe Storm,1,KY
21013,2025-02-14 00:00:00+00:00,Severe Storm,1,KY
21019,2025-02-14 00:00:00+00:00,Severe Storm,1,KY
21027,2025-02-14 00:00:00+00:00,Severe Storm,1,KY
